member_id,conversation_id,user_id,nickname
1,1,17,
2,2,18,
3,3,39,
4,4,7,
5,5,4,
6,6,42,ggarrigan5
7,7,8,
8,8,46,
9,9,26,
10,10,31,
11,11,5,
12,12,28,cbruckmanb
13,13,7,dfranzettic
14,14,15,
15,15,40,
16,16,36,
17,17,27,
18,18,46,
19,19,26,hgammelli
20,20,12,
21,21,1,rfleak
22,22,24,bhouldeyl
23,23,20,
24,24,4,
25,25,50,htockello
26,26,7,
27,27,31,
28,28,6,
29,29,22,
30,30,37,mminuccit
31,31,47,
32,32,22,
33,33,33,dsavellw
34,34,27,hgobeauxx
35,35,16,
36,36,44,
37,37,36,
38,38,47,pbrooks11
39,39,34,
40,40,44,
41,41,11,
42,42,5,
43,43,31,
44,44,50,
45,45,41,
46,46,34,
47,47,3,
48,48,45,
49,49,7,
50,50,10,
51,51,13,raberchirder1e
52,52,14,
53,53,24,
54,54,15,tlundie1h
55,55,46,kethelstone1i
56,56,40,
57,57,11,
58,58,8,
59,59,25,kkeling1m
60,60,13,
61,61,21,
62,62,1,
63,63,36,
64,64,22,
65,65,34,
66,66,8,
67,67,44,
68,68,17,omckeveney1v
69,69,41,
70,70,28,gdeverson1x
71,71,38,
72,72,48,
73,73,12,vsproston20
74,74,46,
75,75,24,rschoular22
76,76,14,ecatonnet23
77,77,19,cbrent24
78,78,42,
79,79,47,
80,80,24,
81,81,11,
82,82,19,
83,83,12,
84,84,48,
85,85,47,
86,86,5,
87,87,35,
88,88,28,
89,89,29,
90,90,50,
91,91,5,
92,92,43,
93,93,1,
94,94,27,
95,95,40,tbrisson2m
96,96,20,bbrimblecombe2n
97,97,15,
98,98,49,qmorritt2p
99,99,14,
100,100,1,
101,101,3,
102,102,5,
103,103,27,
104,104,29,bwiggans2v
105,105,37,
106,106,42,lmeier2x
107,107,47,
108,108,18,
109,109,23,rduckhouse30
110,110,18,
111,111,10,
112,112,45,btook33
113,113,29,
114,114,8,gflisher35
115,115,6,jsutheran36
116,116,42,
117,117,33,
118,118,29,
119,119,34,
120,120,12,
121,121,5,
122,122,12,
123,123,28,
124,124,46,
125,125,49,
126,126,39,mspargo3h
127,127,41,
128,128,14,
129,129,10,
130,130,24,
131,131,29,
132,132,22,mharome3n
133,133,13,
134,134,24,
135,135,40,
136,136,34,csandwick3r
137,137,14,ecastiello3s
138,138,25,
139,139,4,
140,140,27,
141,141,2,
142,142,22,earnowitz3x
143,143,42,
144,144,10,
145,145,37,fcandish40
146,146,30,
147,147,21,
148,148,12,
149,149,15,tdrakes44
150,150,20,
151,151,17,
152,152,6,
153,153,48,
154,154,41,
155,155,40,
156,156,32,
157,157,33,nkernar4c
158,158,4,
159,159,35,
160,160,49,
161,161,11,lsmithers4g
162,162,30,
163,163,33,
164,164,22,
165,165,46,
166,166,41,
167,167,30,
168,168,14,
169,169,34,kpearn4o
170,170,4,jjobe4p
171,171,1,
172,172,42,
173,173,17,
174,174,38,
175,175,8,bberick4u
176,176,38,
177,177,11,
178,178,12,
179,179,33,tjerams4y
180,180,18,jhorsfield4z
181,181,35,
182,182,37,
183,183,27,
184,184,2,
185,185,7,
186,186,8,
187,187,35,eroakes56
188,188,32,jtummons57
189,189,44,
190,190,40,nfaulconbridge59
191,191,14,
192,192,38,
193,193,7,
194,194,16,
195,195,4,dkydde5e
196,196,31,
197,197,2,
198,198,43,
199,199,49,brau5i
200,200,25,
